#;No.;Time;Source;Destination;Protocol;Info;
67;68;217.296825;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
68;69;217.604777;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
69;70;217.928595;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
70;71;218.156778;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
71;72;218.296896;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
72;73;218.605947;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
73;74;218.995458;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
74;75;219.136948;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
75;76;219.374937;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
76;77;219.606354;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
77;78;220.237127;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
78;79;220.605762;212.119.161.154;212.151.225.95;GTP <ICMP>;Echo (ping) request;
79;80;221.139092;212.151.225.95;212.119.161.154;GTP <ICMP>;Echo (ping) reply;
80;81;222.982825;194.190.80.90;212.151.225.95;GTP <TCP>;50000 > 7374 [PSH, ACK] Seq=91 Ack=71 Win=65237 Len=18;
81;82;224.079045;212.151.225.95;194.190.80.90;GTP <TCP>;7374 > 50000 [ACK] Seq=71 Ack=109 Win=5840 Len=0;
82;83;225.057068;212.151.225.95;194.190.80.90;GTP <TCP>;7374 > 50000 [PSH, ACK] Seq=71 Ack=109 Win=5840 Len=14;
83;84;225.352424;194.190.80.90;212.151.225.95;GTP <TCP>;50000 > 7374 [ACK] Seq=109 Ack=85 Win=65223 Len=0;
